location,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E
20180124T1500,-4.88,87.0,996.9,0.3,0.21000001,100.0,0.0,0.0,100.0,29.65189,261.21472,43.274933,261.8699,47.198456,262.54974,46.1306,267.31622,-23.0,1215.0,-6.8,-18.46
20180124T1600,-4.74,83.0,996.4,0.2,0.14,100.0,0.0,0.0,100.0,30.67767,267.01337,45.05181,267.25192,47.88541,269.1385,44.208233,276.5463,-27.0,1212.0,-6.64,-18.24
20180124T1700,-4.48,80.0,996.1,0.1,0.07,100.0,0.0,0.0,100.0,28.125078,275.9806,40.908737,276.0618,43.582306,277.59464,43.30936,283.45868,-30.0,1212.0,-6.24,-17.85
20180124T1800,-4.14,74.0,996.0,0.1,0.07,100.0,0.0,0.0,100.0,27.048458,287.1857,39.732323,287.94244,42.236763,288.89825,45.4114,295.3462,-31.0,1213.0,-5.85,-17.61
20180124T1900,-3.54,76.0,996.0,0.1,0.07,100.0,0.0,100.0,100.0,28.747755,299.41562,42.732468,299.80475,45.770996,299.1859,51.49133,300.68896,-30.0,1216.0,-5.23,-16.94
20180124T2000,-3.14,85.0,996.3,0.2,0.14,100.0,0.0,14.0,100.0,28.747757,302.51193,42.24443,302.4712,48.537292,299.7976,54.119865,303.05585,-28.0,1221.0,-4.82,-16.19
20180124T2100,-2.7,76.0,997.0,0.1,0.0,51.0,0.0,13.0,51.0,29.60398,312.4471,43.565945,312.65588,46.701588,310.93665,51.92992,315.0,-23.0,1228.0,-4.42,-15.67
20180124T2200,-2.23,75.0,997.5,0.0,0.0,100.0,0.0,100.0,100.0,27.193687,304.62418,39.938915,303.97656,47.93275,302.73523,53.13995,307.5686,-19.0,1235.0,-3.84,-15.22
20180124T2300,-1.7,70.0,997.9,0.0,0.0,100.0,0.0,100.0,63.0,30.170313,299.0546,44.65306,299.4584,47.603107,300.4436,54.48502,316.07083,-16.0,1240.0,-3.32,-14.95
20180125T0000,-1.69,68.0,998.5,0.0,0.0,67.0,0.0,67.0,14.0,29.058367,301.50427,42.971394,301.29303,46.12638,299.96674,61.907436,303.13562,-11.0,1244.0,-3.38,-15.06
20180125T0100,-1.91,74.0,998.8,0.0,0.0,59.0,0.0,0.0,59.0,32.413338,295.3014,48.305775,295.61023,53.13507,295.69702,62.735096,301.866,-9.0,1245.0,-3.7,-15.32
20180125T0200,-1.84,78.0,999.0,0.0,0.0,100.0,0.0,0.0,100.0,34.877037,288.71173,52.367317,288.43497,57.271687,289.46002,66.818565,295.87476,-7.0,1246.0,-3.72,-15.23
20180125T0300,-1.52,80.0,998.7,0.2,0.14,100.0,0.0,0.0,100.0,38.341244,292.46674,57.90631,293.0583,64.17802,291.38364,75.007965,291.39288,-9.0,1246.0,-3.38,-15.07
20180125T0400,-1.19,87.0,998.3,0.4,0.28,100.0,0.0,0.0,100.0,39.248596,293.60712,58.96202,294.53082,67.73837,293.1586,73.60657,292.42587,-12.0,1245.0,-3.04,-14.61
20180125T0500,-1.08,87.0,998.4,0.7,0.48999998,100.0,0.0,0.0,100.0,40.41649,291.66116,59.430534,292.0592,67.51896,291.9149,70.25443,294.201,-11.0,1246.0,-2.98,-14.59
20180125T0600,-0.61,85.0,998.4,0.5,0.35,100.0,0.0,0.0,100.0,41.313477,290.77228,62.239407,291.37064,68.390526,291.29736,68.541954,293.1986,-12.0,1245.0,-3.05,-15.01
20180125T0700,-1.45,77.0,998.4,0.3,0.21000001,100.0,0.0,0.0,100.0,40.19463,289.75598,60.929398,290.04095,65.73032,290.51932,65.24645,292.03625,-11.0,1244.0,-3.36,-15.28
20180125T0800,-1.59,79.0,998.4,0.2,0.14,100.0,0.0,0.0,100.0,40.035408,290.24368,60.59132,290.15762,65.52099,290.9245,68.26154,292.64313,-12.0,1242.0,-3.53,-15.34
20180125T0900,-0.87,83.0,998.2,0.3,0.21000001,100.0,0.0,0.0,100.0,41.796795,287.04904,62.96708,287.2954,68.08094,287.8601,68.856995,291.46765,-13.0,1241.0,-3.37,-15.47
20180125T1000,-0.9,82.0,998.3,0.2,0.14,100.0,0.0,0.0,100.0,42.594852,285.60083,64.285965,285.59283,68.34314,286.5258,67.08086,290.0882,-13.0,1242.0,-3.39,-15.43
20180125T1100,-0.87,82.0,997.9,0.2,0.14,100.0,0.0,0.0,100.0,42.38691,284.56027,63.307816,284.82648,68.14182,285.9454,65.52099,290.9245,-16.0,1239.0,-3.32,-15.23
20180125T1200,-2.53,82.0,997.5,0.3,0.21000001,100.0,0.0,0.0,100.0,36.71491,276.24838,55.38036,275.97003,58.762764,277.03793,54.561085,274.92062,-19.0,1231.0,-4.48,-16.11
20180125T1300,-2.67,84.0,997.1,0.2,0.14,100.0,0.0,0.0,100.0,36.246067,271.6847,54.019196,271.52753,59.093754,272.44406,58.998276,275.9541,-22.0,1228.0,-4.61,-16.28
20180125T1400,-2.57,82.0,996.5,0.2,0.14,100.0,0.0,0.0,100.0,36.7632,270.0,55.44,270.0,60.489635,271.02304,59.668846,278.32565,-26.0,1224.0,-4.45,-16.08
20180125T1500,-2.08,84.0,995.8,0.2,0.14,100.0,0.0,0.0,100.0,38.8944,270.0,58.681103,269.6485,65.90459,271.56506,64.62878,279.61972,-32.0,1221.0,-3.93,-15.37
20180125T1600,-1.5,87.0,995.4,0.4,0.28,100.0,0.0,0.0,100.0,39.74363,285.15408,60.379204,286.27386,69.58437,286.8412,71.39626,291.9087,-35.0,1221.0,-3.27,-14.8
20180125T1700,-2.01,84.0,995.9,0.5,0.35,100.0,0.0,0.0,100.0,39.899567,304.11447,60.22338,305.02008,66.89803,304.03214,68.536285,301.68637,-32.0,1221.0,-3.88,-15.41
20180125T1800,-1.71,82.0,995.9,0.3,0.21000001,100.0,0.0,23.0,100.0,39.077347,296.73975,58.12077,296.88248,62.951637,296.12546,65.659294,292.90985,-32.0,1223.0,-3.53,-15.22
20180125T1900,-1.87,80.0,996.4,0.2,0.14,100.0,0.0,28.0,100.0,39.28384,292.73944,59.37272,292.83368,63.913937,292.52057,65.1212,289.03595,-27.0,1226.0,-3.75,-15.53
20180125T2000,-1.94,81.0,996.8,0.2,0.14,100.0,0.0,45.0,100.0,38.964584,295.5139,58.769375,295.78024,64.116394,294.55045,65.986145,291.10486,-24.0,1229.0,-3.88,-15.65
20180125T2100,-1.9,82.0,997.2,0.2,0.14,100.0,0.0,44.0,100.0,38.609623,295.32736,57.96447,295.76935,63.462185,294.82056,64.11032,292.10013,-21.0,1232.0,-3.81,-15.55
20180125T2200,-2.05,81.0,997.6,0.1,0.07,100.0,0.0,24.0,100.0,38.165928,293.8813,57.68094,294.32556,62.255024,293.1551,63.422356,289.5663,-18.0,1234.0,-4.01,-15.68
20180125T2300,-2.01,83.0,997.7,0.0,0.0,100.0,0.0,2.0,100.0,35.865196,291.8014,53.614624,292.08716,58.96202,291.8664,57.896236,291.13983,-17.0,1236.0,-3.88,-15.41
20180126T0000,-1.84,81.0,998.2,0.0,0.0,100.0,0.0,0.0,100.0,35.07791,290.91254,52.7532,290.78485,57.22528,291.3998,57.02336,291.8686,-13.0,1241.0,-3.68,-15.38
20180126T0100,-1.6,84.0,998.1,0.1,0.07,100.0,0.0,0.0,100.0,34.299454,289.98312,51.488804,290.46228,56.42361,291.32623,55.55326,292.0772,-14.0,1241.0,-3.41,-14.92
20180126T0200,-1.45,83.0,998.1,0.1,0.07,100.0,0.0,0.0,100.0,33.958424,289.7143,51.026108,290.22485,55.49257,290.90408,50.62706,293.46606,-14.0,1242.0,-3.23,-14.59
20180126T0300,-1.16,79.0,998.1,0.0,0.0,100.0,0.0,0.0,100.0,33.892525,290.71417,50.47837,290.8908,54.750782,292.0113,48.305775,295.61023,-14.0,1244.0,-2.92,-14.31
20180126T0400,-0.89,77.0,998.3,0.0,0.0,92.0,0.0,0.0,92.0,33.491257,291.4629,50.071064,291.9544,54.02999,293.14847,48.944115,296.1881,-12.0,1247.0,-2.6,-13.99
20180126T0500,-0.59,75.0,998.8,0.0,0.0,70.0,0.0,0.0,70.0,34.00124,293.55228,50.77149,293.83875,53.95798,294.85522,52.500786,295.1593,-8.0,1252.0,-2.32,-13.82
20180126T0600,-0.49,76.0,999.2,0.1,0.07,100.0,0.0,0.0,100.0,33.733013,294.74356,49.934998,294.71744,53.61583,295.87683,53.807655,294.50742,-6.0,1255.0,-2.23,-13.78
20180126T0700,-0.45,76.0,999.7,0.1,0.07,100.0,0.0,0.0,100.0,32.408955,297.40756,47.668404,297.9198,51.227634,298.5462,51.69605,295.13742,-1.0,1260.0,-2.17,-13.66
20180126T0800,-0.4,76.0,1000.3,0.1,0.07,100.0,0.0,0.0,100.0,32.446163,302.2547,47.93275,302.73523,50.831436,302.56454,50.231285,296.3814,2.0,1264.0,-1.34,-13.6
20180126T0900,-0.56,76.0,1001.0,0.1,0.07,100.0,0.0,0.0,100.0,33.5135,306.59662,50.399994,306.8699,52.4378,305.2176,47.981396,295.79602,8.0,1269.0,-1.63,-13.59
20180126T1000,-0.67,76.0,1001.5,0.0,0.0,69.0,0.0,0.0,69.0,33.785572,307.95425,51.27694,308.15723,53.281216,306.4828,47.97734,296.75732,12.0,1272.0,-1.81,-13.7
20180126T1100,-0.68,75.0,1001.7,0.0,0.0,55.0,0.0,0.0,55.0,32.714096,307.05652,49.03538,307.54297,52.199997,306.8699,46.400913,298.75238,13.0,1274.0,-1.82,-13.73
20180126T1200,-1.0,77.0,1001.9,0.0,0.0,72.0,0.0,0.0,72.0,30.663786,299.68314,45.457035,299.4072,44.839874,302.54175,41.26046,299.24884,15.0,1274.0,-2.13,-13.87
20180126T1300,-1.07,76.0,1002.2,0.0,0.0,65.0,0.0,0.0,65.0,29.037603,303.3985,42.83395,303.69006,39.75189,308.01154,41.945793,309.42783,18.0,1277.0,-2.21,-13.87
20180126T1400,-1.06,66.0,1002.9,0.0,0.0,39.0,0.0,0.0,39.0,27.016953,310.60132,40.102448,310.26657,41.31696,311.4677,45.878464,308.30875,23.0,1282.0,-2.24,-14.22
20180126T1500,-1.41,66.0,1003.9,0.0,0.0,28.0,0.0,0.0,28.0,28.506042,307.40536,42.626186,307.4506,44.71252,307.1467,46.555668,309.35175,30.0,1287.0,-2.71,-14.25
20180126T1600,-1.67,74.0,1004.4,0.0,0.0,37.0,0.0,28.0,37.0,26.894527,303.69006,38.545227,302.79953,49.341015,299.74487,56.93124,310.6406,34.0,1291.0,-3.0,-14.55
20180126T1700,-1.58,75.0,1004.6,0.0,0.0,76.0,0.0,30.0,76.0,24.539185,302.13727,36.06115,301.94476,51.851246,305.67642,47.227276,303.81122,36.0,1293.0,-2.89,-14.42
20180126T1800,-1.58,76.0,1004.8,0.0,0.0,100.0,0.0,23.0,100.0,23.660158,305.83765,35.496075,306.7537,47.798725,309.80557,47.23551,307.5686,38.0,1294.0,-2.89,-14.54
20180126T1900,-1.4,73.0,1005.2,0.0,0.0,49.0,0.0,2.0,49.0,25.095388,307.23483,37.008278,307.09283,43.635803,307.62625,47.088493,306.6071,41.0,1297.0,-2.75,-14.41
20180126T2000,-1.35,75.0,1005.7,0.0,0.0,64.0,0.0,39.0,64.0,25.257475,307.71597,36.721764,307.4316,44.480038,309.74622,46.701588,310.93665,45.0,1302.0,-2.76,-14.37
20180126T2100,-1.23,81.0,1006.2,0.1,0.07,100.0,0.0,28.0,100.0,25.46873,307.34937,37.008278,307.09283,46.95068,307.83646,46.37437,312.48315,49.0,1306.0,-2.7,-14.35
20180126T2200,-0.93,82.0,1006.6,0.3,0.21000001,100.0,0.0,28.0,100.0,32.671764,305.37476,50.554047,305.72742,57.1709,306.29263,50.841637,310.11725,52.0,1310.0,-2.61,-14.38
20180126T2300,-1.12,75.0,1007.2,0.1,0.07,65.0,0.0,2.0,65.0,34.282894,309.00748,50.938408,308.976,50.688457,300.7544,48.171448,286.9453,56.0,1313.0,-2.8,-14.51
20180127T0000,-1.23,78.0,1007.6,0.1,0.07,100.0,0.0,0.0,100.0,28.446232,303.54126,42.035297,303.82617,46.047646,295.96408,48.6533,280.229,60.0,1316.0,-2.91,-14.71
20180127T0100,-1.39,82.0,1007.8,0.0,0.0,100.0,0.0,2.0,100.0,27.921211,299.74487,41.437546,299.68314,43.86685,293.1986,51.5517,280.05432,61.0,1317.0,-3.06,-14.81
20180127T0200,-1.34,84.0,1007.7,0.0,0.0,100.0,0.0,2.0,100.0,27.890694,294.8516,40.894478,296.11392,45.33714,290.44955,53.2654,279.335,61.0,1317.0,-3.0,-14.75
20180127T0300,-1.3,82.0,1007.8,0.0,0.0,100.0,0.0,0.0,100.0,30.074894,288.59546,43.60163,288.28534,46.6891,287.03778,47.510452,276.96347,62.0,1318.0,-3.05,-14.46
20180127T0400,-1.23,85.0,1008.0,0.0,0.0,100.0,0.0,0.0,100.0,30.311125,282.69266,44.98271,282.47906,50.488636,285.72095,45.651917,288.8636,63.0,1320.0,-2.98,-14.45
20180127T0500,-1.08,86.0,1008.6,0.0,0.0,100.0,0.0,0.0,100.0,32.7672,282.6804,49.43417,282.61932,54.59314,285.6859,45.0,286.2602,68.0,1324.0,-2.93,-14.52
20180127T0600,-1.12,85.0,1009.0,0.0,0.0,100.0,0.0,0.0,100.0,35.023243,283.1906,53.534798,282.82135,56.82643,286.94263,44.854324,288.7258,71.0,1326.0,-3.06,-14.79
20180127T0700,-1.23,83.0,1009.7,0.0,0.0,100.0,0.0,0.0,100.0,36.37994,284.85034,55.09882,284.76263,54.99994,287.1303,44.068764,287.10272,76.0,1331.0,-3.25,-14.99
20180127T0800,-1.25,82.0,1010.3,0.0,0.0,100.0,0.0,0.0,100.0,35.314835,286.65784,52.96406,286.58734,56.482155,287.04904,51.89622,282.01147,81.0,1335.0,-3.33,-14.83
20180127T0900,-1.43,82.0,1010.9,0.0,0.0,100.0,0.0,0.0,100.0,34.472816,286.61444,51.82625,286.54675,56.076862,285.64224,49.655212,279.5989,85.0,1339.0,-3.56,-15.11
20180127T1000,-1.44,84.0,1011.2,0.0,0.0,100.0,0.0,0.0,100.0,34.62483,288.85315,52.939587,289.05103,57.96447,286.97192,54.159363,282.28094,88.0,1340.0,-3.62,-15.58
20180127T1100,-1.31,84.0,1011.5,0.0,0.0,100.0,0.0,0.0,100.0,34.53966,288.43494,52.367317,288.43497,59.551437,284.7083,58.258854,282.49042,90.0,1344.0,-3.48,-15.47
20180127T1200,-1.9,79.0,1011.7,0.0,0.0,100.0,0.0,0.0,100.0,33.406387,283.37134,50.215805,282.8407,51.5517,280.05432,55.44467,270.74408,91.0,1341.0,-4.21,-15.1
20180127T1300,-2.16,83.0,1011.7,0.0,0.0,100.0,0.0,0.0,100.0,34.125202,282.62585,50.918053,282.66064,55.018787,282.85413,57.12668,282.37216,91.0,1341.0,-4.44,-14.81
20180127T1400,-2.28,85.0,1012.1,0.0,0.0,100.0,0.0,0.0,100.0,35.282665,283.0919,53.2654,283.28485,58.107388,281.79724,57.96447,281.1006,94.0,1343.0,-4.65,-15.13
20180127T1500,-2.08,86.0,1012.6,0.0,0.0,100.0,0.0,0.0,100.0,35.678703,285.59283,54.14979,285.42218,60.686428,283.37677,61.85508,280.39432,99.0,1348.0,-4.49,-15.4
20180127T1600,-1.95,87.0,1013.1,0.0,0.0,100.0,0.0,0.0,100.0,35.23939,286.2429,52.862415,286.21338,62.52092,283.3161,62.007835,282.7453,102.0,1352.0,-4.4,-15.86
20180127T1700,-1.86,86.0,1013.5,0.0,0.0,100.0,0.0,0.0,100.0,35.570133,286.53485,53.900303,285.89282,61.643097,284.19855,63.92306,283.0188,105.0,1355.0,-4.32,-15.84
20180127T1800,-1.81,85.0,1013.9,0.0,0.0,100.0,0.0,0.0,100.0,36.059574,287.63177,54.763794,287.6012,61.99217,284.11694,63.92306,283.0188,108.0,1358.0,-4.33,-16.08
20180127T1900,-1.91,82.0,1013.9,0.0,0.0,100.0,0.0,0.0,100.0,36.396515,289.23068,55.099995,288.6717,61.56947,285.25513,61.387123,283.22128,109.0,1358.0,-4.43,-16.15
20180127T2000,-2.06,83.0,1014.2,0.0,0.0,100.0,0.0,0.0,100.0,36.73616,289.48615,55.794193,289.6041,62.067383,286.8584,62.341347,284.03625,111.0,1359.0,-4.63,-16.1
20180127T2100,-1.94,84.0,1014.3,0.0,0.0,100.0,0.0,0.0,100.0,35.8256,290.4563,54.227524,290.6006,62.012024,285.48853,65.75792,282.9711,112.0,1361.0,-4.46,-15.73
20180127T2200,-1.79,87.0,1014.7,0.0,0.0,100.0,0.0,0.0,100.0,35.14158,289.946,52.62653,290.41843,61.76282,285.89954,58.47535,279.92624,114.0,1365.0,-4.35,-15.31
20180127T2300,-1.9,86.0,1014.9,0.0,0.0,100.0,0.0,0.0,100.0,34.883144,287.32794,52.144104,287.6844,58.32555,284.29355,58.18428,280.33655,116.0,1365.0,-4.47,-16.02
20180128T0000,-2.01,87.0,1015.0,0.0,0.0,100.0,0.0,0.0,100.0,32.265205,288.28534,47.131134,288.71173,54.311104,284.58893,51.964848,273.9725,117.0,1366.0,-4.55,-15.63
20180128T0100,-2.23,86.0,1015.4,0.0,0.0,100.0,0.0,0.0,100.0,32.501892,284.71967,47.33007,284.98755,54.010796,281.5346,53.42696,274.25067,120.0,1368.0,-4.83,-16.07
20180128T0200,-2.41,86.0,1015.1,0.0,0.0,100.0,0.0,21.0,100.0,31.986866,284.96216,47.424446,285.4077,52.675762,282.2315,54.951614,275.2624,118.0,1365.0,-5.0,-16.38
20180128T0300,-2.42,82.0,1014.6,0.0,0.0,100.0,23.0,76.0,100.0,32.60109,281.30994,48.079884,281.2258,52.852608,279.0132,55.418957,276.34018,114.0,1361.0,-4.93,-16.58
20180128T0400,-2.35,81.0,1014.6,0.0,0.0,100.0,16.0,100.0,100.0,31.242714,281.30994,46.24424,281.22247,50.78042,279.7962,53.36021,277.36475,114.0,1361.0,-4.8,-16.39
20180128T0500,-2.09,80.0,1014.9,0.0,0.0,100.0,4.0,69.0,100.0,31.314186,279.30206,46.69604,279.31708,51.98106,277.96176,55.061172,276.38156,116.0,1365.0,-4.58,-16.26
20180128T0600,-1.82,83.0,1014.4,0.0,0.0,100.0,15.0,100.0,100.0,28.86232,279.02762,42.316463,279.30206,48.26954,277.28403,58.829994,279.8658,113.0,1364.0,-4.2,-15.19
20180128T0700,-1.67,73.0,1014.7,0.0,0.0,100.0,0.0,100.0,100.0,28.714409,276.92722,43.135452,276.70984,47.391647,275.6673,56.97675,277.2597,115.0,1367.0,-4.01,-15.24
20180128T0800,-1.61,75.0,1014.5,0.0,0.0,100.0,0.0,100.0,100.0,26.335901,277.55634,38.491394,277.5238,44.4261,274.64798,58.962013,275.60617,113.0,1366.0,-3.91,-15.14
20180128T0900,-1.82,79.0,1014.1,0.0,0.0,100.0,0.0,100.0,100.0,20.008396,273.0529,29.179993,272.1211,38.2973,265.1469,52.921223,270.38977,110.0,1364.0,-3.86,-14.71
20180128T1000,-1.91,76.0,1013.4,0.0,0.0,100.0,0.0,100.0,100.0,13.8937235,265.6013,19.523155,264.70993,27.231804,245.8068,40.35213,254.47589,105.0,1360.0,-3.57,-14.52
20180128T1100,-1.31,81.0,1012.5,0.0,0.0,100.0,0.0,100.0,100.0,7.74395,243.43495,10.948973,242.59244,22.86496,213.43987,35.457714,228.70464,98.0,1355.0,-3.28,-14.25
20180128T1200,0.28,87.0,1009.1,0.0,0.0,100.0,0.0,100.0,100.0,18.504736,173.38654,27.153164,173.91147,33.58821,199.40598,37.038036,205.31969,72.0,1340.0,-1.12,-11.96
20180128T1300,0.54,84.0,1007.8,0.0,0.0,100.0,0.0,100.0,100.0,23.146158,168.04341,34.17157,168.45331,44.373558,183.72131,44.09375,193.69588,62.0,1330.0,-0.82,-11.81
20180128T1400,0.92,86.0,1005.8,0.0,0.0,100.0,0.0,30.0,100.0,27.951694,157.59016,41.787918,157.19029,51.48,180.0,58.50747,194.97684,46.0,1317.0,-0.29,-10.82
20180128T1500,1.44,85.0,1003.5,0.0,0.0,100.0,0.0,100.0,100.0,33.62238,155.66876,50.77149,156.16125,66.2752,178.13232,80.654465,196.33182,28.0,1303.0,0.42,-9.08
20180128T1600,1.99,88.0,1001.2,0.0,0.0,100.0,0.0,100.0,100.0,39.679295,152.40271,61.350166,152.38239,85.10936,176.60507,89.108536,195.9454,10.0,1290.0,1.22,-8.26
20180128T1700,2.94,93.0,999.0,0.5,0.35,100.0,0.0,100.0,100.0,42.293884,153.43495,64.720955,153.57748,92.17125,179.10483,92.20499,194.47029,-7.0,1278.0,1.5,-7.63
20180128T1800,4.04,88.0,998.2,2.0,0.0,100.0,0.0,100.0,100.0,49.22132,196.66954,79.23925,199.09349,98.3268,203.7495,93.03406,216.02737,-14.0,1272.0,2.65,-8.3
20180128T1900,1.47,90.0,999.0,0.1,0.07,100.0,0.0,0.0,100.0,49.445732,265.36453,76.73406,267.84906,74.34937,257.98276,77.42762,238.30524,-7.0,1263.0,-0.85,-10.48
20180128T2000,-1.36,92.0,1002.1,0.0,0.0,100.0,0.0,0.0,100.0,57.31316,295.61218,90.15826,296.56506,97.00647,284.39725,97.56,270.0,16.0,1267.0,-3.68,-14.84
20180128T2100,-1.97,88.0,1003.2,0.0,0.0,100.0,0.0,0.0,100.0,41.367554,287.61816,61.61892,286.63513,72.24886,277.44373,83.2231,267.76883,25.0,1278.0,-3.42,-15.48
20180128T2200,-2.65,84.0,1004.8,0.0,0.0,100.0,0.0,0.0,100.0,41.287704,289.60406,62.1644,289.2744,66.380714,282.5288,70.27473,272.64255,38.0,1285.0,-4.52,-16.84
20180128T2300,-3.31,79.0,1006.0,0.0,0.0,100.0,0.0,0.0,100.0,34.287033,288.5757,50.43213,288.3056,54.588394,282.5698,64.441,269.67993,46.0,1291.0,-5.12,-17.2
20180129T0000,-3.5,79.0,1006.8,0.0,0.0,100.0,0.0,0.0,100.0,30.432629,293.1986,44.33996,293.44293,47.131134,288.71173,53.94837,276.1291,53.0,1297.0,-5.37,-17.4
20180129T0100,-3.89,86.0,1007.4,0.0,0.0,100.0,0.0,0.0,100.0,27.717123,305.2176,40.17832,306.25385,41.866932,297.66675,42.699093,275.80673,58.0,1301.0,-5.72,-17.18
20180129T0200,-3.85,85.0,1007.6,0.0,0.0,100.0,0.0,0.0,100.0,28.235888,283.6429,41.66368,282.47513,46.912018,273.96033,51.261772,259.47922,59.0,1301.0,-5.72,-17.54
20180129T0300,-3.88,88.0,1007.4,0.0,0.0,100.0,0.0,0.0,100.0,29.791574,282.91782,43.659554,283.34872,46.79584,277.07034,49.562466,258.69006,58.0,1300.0,-5.77,-17.45
20180129T0400,-4.03,84.0,1007.7,0.0,0.0,100.0,0.0,0.0,100.0,29.742702,276.1702,43.73963,275.19443,47.161373,269.56265,47.867817,254.29138,60.0,1301.0,-5.99,-17.92
20180129T0500,-4.05,84.0,1008.2,0.0,0.0,100.0,0.0,0.0,100.0,26.217064,275.24713,37.579926,274.94598,42.133842,271.4688,50.81486,262.67358,64.0,1305.0,-5.93,-17.69
20180129T0600,-3.99,83.0,1008.2,0.0,0.0,100.0,0.0,0.0,100.0,25.8408,270.0,37.801712,269.45435,41.76621,269.01224,51.127605,263.12518,64.0,1305.0,-5.89,-17.79
20180129T0700,-3.96,82.0,1008.6,0.0,0.0,100.0,0.0,0.0,100.0,27.444372,268.8876,40.719803,267.46643,45.05181,267.25192,54.985798,264.36407,67.0,1308.0,-5.94,-18.06
20180129T0800,-3.99,81.0,1008.8,0.0,0.0,100.0,0.0,0.0,100.0,27.4392,270.0,41.041576,269.49744,45.732754,268.64682,55.581245,265.91437,68.0,1309.0,-5.98,-18.2
20180129T0900,-3.93,78.0,1009.0,0.0,0.0,100.0,0.0,0.0,100.0,24.78093,271.232,36.0072,271.14575,41.399998,270.0,55.48206,267.76883,70.0,1312.0,-5.82,-17.78
20180129T1000,-3.84,77.0,1009.2,0.0,0.0,100.0,0.0,0.0,100.0,22.683142,273.36646,33.528355,273.07745,38.1617,270.54053,51.500134,268.39774,71.0,1314.0,-5.71,-17.7
20180129T1100,-3.76,77.0,1009.3,0.0,0.0,100.0,0.0,0.0,100.0,22.1112,270.0,32.402,269.3634,36.088093,265.99582,45.82052,261.8699,73.0,1316.0,-5.61,-17.63
20180129T1200,-2.83,78.0,1008.6,0.1,0.07,100.0,0.0,100.0,100.0,18.57364,261.7537,26.987997,260.78897,29.144438,252.01266,38.161697,242.46802,67.0,1316.0,-4.48,-16.43
20180129T1300,-2.7,79.0,1008.6,0.2,0.14,100.0,0.0,100.0,100.0,20.540459,267.02628,29.957968,265.86533,32.919827,256.7236,41.45631,246.9974,67.0,1317.0,-4.38,-16.29
20180129T1400,-2.79,76.0,1008.8,0.1,0.07,75.0,0.0,12.0,75.0,22.189697,274.82077,32.49785,274.4474,35.069984,264.6991,48.722515,255.45038,69.0,1317.0,-4.56,-16.32
20180129T1500,-3.0,73.0,1008.8,0.0,0.0,100.0,0.0,0.0,100.0,18.920027,279.7276,26.932714,278.45502,31.780067,265.45197,46.38974,245.22485,69.0,1318.0,-4.64,-16.06
20180129T1600,-2.8,79.0,1008.7,0.1,0.07,100.0,0.0,0.0,100.0,19.197443,272.38596,28.08923,271.4688,32.023815,261.59662,43.849125,240.48851,68.0,1318.0,-4.45,-15.89
20180129T1700,-2.71,80.0,1008.9,0.3,0.21000001,100.0,0.0,0.0,100.0,21.870773,272.79272,32.072342,272.57336,34.428497,263.39517,43.17149,245.35834,70.0,1319.0,-4.46,-16.06
20180129T1800,-2.76,74.0,1009.0,0.1,0.07,100.0,0.0,0.0,100.0,22.21367,275.5055,32.88635,275.02408,34.966362,267.04922,49.205563,253.42122,70.0,1319.0,-4.52,-16.32
20180129T1900,-2.82,76.0,1009.4,0.2,0.14,100.0,0.0,0.0,100.0,23.565485,280.42072,34.03476,280.35907,35.296524,271.75342,44.109917,254.37576,74.0,1321.0,-4.69,-16.47
20180129T2000,-3.17,75.0,1009.8,0.1,0.07,100.0,0.0,0.0,100.0,22.074259,287.56027,31.655441,287.19855,32.561596,275.7106,41.792576,252.96985,77.0,1323.0,-5.06,-16.73
20180129T2100,-3.45,77.0,1010.4,0.1,0.07,100.0,0.0,0.0,100.0,21.235271,289.7989,30.737339,288.43497,32.6411,276.96826,42.5044,259.2611,81.0,1326.0,-5.37,-17.05
20180129T2200,-3.59,77.0,1011.0,0.1,0.07,100.0,0.0,0.0,100.0,19.394215,285.9454,27.943514,284.93143,31.328272,271.3169,45.92787,256.39948,85.0,1330.0,-5.52,-17.23
20180129T2300,-3.65,75.0,1011.2,0.1,0.07,98.0,0.0,0.0,98.0,16.917973,277.23694,24.57511,275.04245,29.888672,260.99152,46.56263,251.9853,87.0,1331.0,-5.52,-17.28
20180130T0000,-3.59,76.0,1011.8,0.1,0.07,95.0,0.0,0.0,95.0,17.0496,270.0,25.210283,268.36343,30.222849,257.61926,45.551025,252.99716,92.0,1335.0,-5.57,-17.4
20180130T0100,-3.49,81.0,1012.1,0.2,0.14,100.0,0.0,0.0,100.0,24.82671,266.30862,37.550602,265.6013,40.323215,262.30396,47.110508,260.32175,94.0,1336.0,-5.79,-17.72
20180130T0200,-3.79,76.0,1012.2,0.0,0.0,63.0,0.0,0.0,63.0,32.25201,268.10663,47.892178,268.70782,52.019684,265.23636,60.604156,256.95438,94.0,1335.0,-6.25,-18.08
